Feature,Importance
locality_grouped_Lier,6.976202418787681e-05
locality_grouped_Seraing,6.857839506559361e-05
locality_grouped_Nivelles,6.776092117472183e-05
locality_grouped_Lier,6.721941145762968e-05
locality_grouped_Lier,6.689456798768567e-05
locality_grouped_Ronse,6.60906119674076e-05
locality_grouped_Blankenberge,6.524857738619412e-05
locality_grouped_Aalst,6.504704229868512e-05
locality_grouped_Lier,6.43064017850174e-05
locality_grouped_Ronse,6.390288408865333e-05
locality_grouped_Tournai,6.370609206747669e-05
locality_grouped_Koksijde,6.318993882964741e-05
locality_grouped_Aalst,6.229124162708088e-05
locality_grouped_Tournai,6.2261523047532e-05
locality_grouped_Ronse,6.218621281378671e-05
locality_grouped_Oudenaarde,6.203089455643305e-05
locality_grouped_Oudenaarde,6.173697159299469e-05
locality_grouped_Aalst,6.141272296721892e-05
locality_grouped_Nivelles,6.117928774364569e-05
locality_grouped_Aalst,6.094127079091181e-05
locality_grouped_Seraing,6.0440291755032965e-05
locality_grouped_Oudenaarde,5.97820269253359e-05
locality_grouped_Nivelles,5.975084737780919e-05
locality_grouped_Tournai,5.969966229034857e-05
locality_grouped_Koksijde,5.932098372742719e-05
locality_grouped_Koksijde,5.8774894954357235e-05
locality_grouped_Oudenaarde,5.811572451688987e-05
locality_grouped_Koksijde,5.7548530308580555e-05
locality_grouped_Seraing,5.67122073775102e-05
locality_grouped_Tienen,5.404470902360874e-05
locality_grouped_Tienen,5.3238610738782905e-05
locality_grouped_Jette,5.092084604136262e-05
locality_grouped_Jette,4.8595259284700106e-05
locality_grouped_Jette,4.7676352027985466e-05
locality_grouped_Evere,4.5246503968014646e-05
locality_grouped_Deurne,4.518328606199261e-05
locality_grouped_Deurne,4.4897838188278e-05
locality_grouped_Namur,4.385311751683584e-05
locality_grouped_Tienen,4.227487517717316e-05
locality_grouped_Deurne,4.1391276248185125e-05
locality_grouped_Evere,4.1390933251059075e-05
locality_grouped_Namur,4.136004378744595e-05
locality_grouped_Deurne,4.065263497598842e-05
locality_grouped_Sint-Niklaas,3.991751407338004e-05
locality_grouped_Tienen,3.918930439305971e-05
locality_grouped_Namur,3.884032604488954e-05
locality_grouped_Namur,3.8724683000770494e-05
locality_grouped_Evere,3.6844790111735656e-05
locality_grouped_Sint-Niklaas,3.606777158977252e-05
locality_grouped_Middelkerke,3.589767842066143e-05
locality_grouped_Evere,3.56075249959474e-05
locality_grouped_Jette,3.449911062016326e-05
locality_grouped_Middelkerke,3.415568623994952e-05
locality_grouped_Middelkerke,3.225728940513879e-05
locality_grouped_Sint-Niklaas,3.2201868476897296e-05
locality_grouped_Middelkerke,3.1970069767104285e-05
locality_grouped_Sint-Niklaas,3.16703813652581e-05
